Unit,Stimulus,Z_score
CAMKII_120418_35_B_POS16,1???,0.881897506
CAMKII_120418_35_B_POS16,2???,0.413229189
CAMKII_120418_35_B_POS16,3???,0.301966272
CAMKII_120418_35_B_POS16,4???,-0.121756887
CAMKII_120418_37_A_NEG12,1???,4.634414801
CAMKII_120418_37_A_NEG12,2???,3.15193596
CAMKII_120418_37_A_NEG12,3???,2.360933384
CAMKII_120418_37_A_NEG12,4???,2.057453457
CAMKII_120418_37_B_POS17,1???,2.551998714
CAMKII_120418_37_B_POS17,2???,3.578504076
CAMKII_120418_37_B_POS17,3???,1.03989022
CAMKII_120418_37_B_POS17,4???,-0.120413203
CAMKII_120418_39_A_NEG13,1???,0.4866071
CAMKII_120418_39_A_NEG13,2???,-0.275298881
CAMKII_120418_39_A_NEG13,3???,0.60292484
CAMKII_120418_39_A_NEG13,4???,-0.169599661
CAMKII_120418_39_B_POS18,1???,2.081527236
CAMKII_120418_39_B_POS18,2???,2.156730198
CAMKII_120418_39_B_POS18,3???,1.920209415
CAMKII_120418_39_B_POS18,4???,0.69844961
CAMKII_120418_61_A_POS19,1???,2.829494778
CAMKII_120418_61_A_POS19,2???,1.650361529
CAMKII_120418_61_A_POS19,3???,1.030357973
CAMKII_120418_61_A_POS19,4???,2.128527263
CAMKII_120418_61_C_NEG14,1???,-1.053662224
CAMKII_120418_61_C_NEG14,2???,-0.423278471
CAMKII_120418_61_C_NEG14,3???,-0.470751681
CAMKII_120418_61_C_NEG14,4???,-1.158353733
CAMKII_120418_63_A_POS20,1???,7.593068458
CAMKII_120418_63_A_POS20,2???,7.955939826
CAMKII_120418_63_A_POS20,3???,4.704108836
CAMKII_120418_63_A_POS20,4???,6.920318377
CAMKII_120418_63_B_NEG15,1???,0.374682239
CAMKII_120418_63_B_NEG15,2???,0.65171902
CAMKII_120418_63_B_NEG15,3???,-0.050826408
CAMKII_120418_63_B_NEG15,4???,0.379913143
CAMKII_120418_66_A_POS21,1???,6.152776302
CAMKII_120418_66_A_POS21,2???,5.65649373
CAMKII_120418_66_A_POS21,3???,3.717309043
CAMKII_120418_66_A_POS21,4???,5.371979979
CAMKII_120418_66_B_NEG16,1???,-1.024141337
CAMKII_120418_66_B_NEG16,2???,-0.733757639
CAMKII_120418_66_B_NEG16,3???,0.490770049
CAMKII_120418_66_B_NEG16,4???,-0.688092142
CAMKII_120418_66_C_POS22,1???,0.066247375
CAMKII_120418_66_C_POS22,2???,0.086157517
CAMKII_120418_66_C_POS22,3???,0
CAMKII_120418_66_C_POS22,4???,-0.501244712
GAD_060217_17_A_POS1,1???,1.933840588
GAD_060217_17_A_POS1,2???,3.797478416
GAD_060217_17_A_POS1,3???,4.662204144
GAD_060217_17_A_POS1,4???,0.305999834
GAD_060217_17_B_NEG1,1???,0.413945481
GAD_060217_17_B_NEG1,2???,0.666925489
GAD_060217_17_B_NEG1,3???,0.43178777
GAD_060217_17_B_NEG1,4???,-0.139745584
GAD_060217_26_A_POS2,1???,0.678297506
GAD_060217_26_A_POS2,2???,0.038331141
GAD_060217_26_A_POS2,3???,1.040015012
GAD_060217_26_A_POS2,4???,1.825085332
GAD_060217_26_D_POS3,1???,0.131962134
GAD_060217_26_D_POS3,2???,-0.160980318
GAD_060217_26_D_POS3,3???,0.097043048
GAD_060217_26_D_POS3,4???,-1.091392532
GAD_071717_11_A_POS5,1???,1.730171783
GAD_071717_11_A_POS5,2???,1.164446873
GAD_071717_11_A_POS5,3???,0.349919024
GAD_071717_11_A_POS5,4???,-0.255890374
GAD_071717_11_B_NEG6,1???,0.292565802
GAD_071717_11_B_NEG6,2???,0.866614787
GAD_071717_11_B_NEG6,3???,0.515487658
GAD_071717_11_B_NEG6,4???,0.771873497
GAD_071717_11_C_NEG7,1???,0.235109298
GAD_071717_11_C_NEG7,2???,0.475360902
GAD_071717_11_C_NEG7,3???,-0.081362009
GAD_071717_11_C_NEG7,4???,-0.229323929
GAD_071717_14_C_NEG8,1???,3.566430459
GAD_071717_14_C_NEG8,2???,3.179536748
GAD_071717_14_C_NEG8,3???,2.22966507
GAD_071717_14_C_NEG8,4???,0.795758785
GAD_071717_14_D_POS6,1???,0.623716521
GAD_071717_14_D_POS6,2???,0.353454784
GAD_071717_14_D_POS6,3???,1.627423566
GAD_071717_14_D_POS6,4???,0.285114578
GAD_071717_20_A_POS7,1???,5.455394245
GAD_071717_20_A_POS7,2???,7.457637228
GAD_071717_20_A_POS7,3???,5.287789724
GAD_071717_20_A_POS7,4???,9.668846512
GAD_071717_24_A_NEG9,1???,0.474656978
GAD_071717_24_A_NEG9,2???,0.646400384
GAD_071717_24_A_NEG9,3???,0.266163963
GAD_071717_24_A_NEG9,4???,0.252128042
GAD_071717_24_B_POS8,1???,6.008765527
GAD_071717_24_B_POS8,2???,4.405350337
GAD_071717_24_B_POS8,3???,7.930727673
GAD_071717_24_B_POS8,4???,2.572328669
GAD_071717_8_B_NEG2,1???,0.381683017
GAD_071717_8_B_NEG2,2???,0.388298411
GAD_071717_8_B_NEG2,3???,0.521254086
GAD_071717_8_B_NEG2,4???,-0.536320936
GAD_071717_8_C_NEG3,1???,1.627848878
GAD_071717_8_C_NEG3,2???,0.847704666
GAD_071717_8_C_NEG3,3???,1.51747891
GAD_071717_8_C_NEG3,4???,0.427599281
GAD_071717_8_D_NEG4,1???,1.91311683
GAD_071717_8_D_NEG4,2???,2.160649676
GAD_071717_8_D_NEG4,3???,2.777682101
GAD_071717_8_D_NEG4,4???,0.09081698
GAD_071717_8_E_POS4,1???,1.270121609
GAD_071717_8_E_POS4,2???,1.068643093
GAD_071717_8_E_POS4,3???,1.758310767
GAD_071717_8_E_POS4,4???,0.764747886
GAD_071717_8_F_NEG5,1???,0.918859576
GAD_071717_8_F_NEG5,2???,0.633233417
GAD_071717_8_F_NEG5,3???,1.170106099
GAD_071717_8_F_NEG5,4???,0.585198919
GAD_072417_43_A_POS13,1???,2.130579891
GAD_072417_43_A_POS13,2???,1.336674749
GAD_072417_43_A_POS13,3???,0.839166626
GAD_072417_43_A_POS13,4???,0.497804399
GAD_072417_43_A_POS13,5???,0.471020916
GAD_072417_43_B_POS14,1???,1.425991903
GAD_072417_43_B_POS14,2???,0.279154339
GAD_072417_43_B_POS14,3???,0.416929558
GAD_072417_43_B_POS14,4???,0.228792626
GAD_072417_43_B_POS14,5???,-0.838887554
GAD_072417_43_D_NEG17,1???,2.399029457
GAD_072417_43_D_NEG17,2???,0.742110821
GAD_072417_43_D_NEG17,3???,0.756371994
GAD_072417_43_D_NEG17,4???,0.077716406
GAD_072417_43_D_NEG17,5???,1.249188456
GAD_072417_45_B_POS15,1???,3.048740132
GAD_072417_45_B_POS15,2???,0.891867258
GAD_072417_45_B_POS15,3???,0.910526858
GAD_072417_45_B_POS15,4???,-0.599672776
GAD_072417_47_C_POS9,1???,2.094253085
GAD_072417_47_C_POS9,2???,0.959507977
GAD_072417_47_C_POS9,3???,0.96167592
GAD_072417_47_C_POS9,4???,0.414262982
GAD_072417_47_D_POS10,1???,2.047003481
GAD_072417_47_D_POS10,2???,1.719320513
GAD_072417_47_D_POS10,3???,1.326468832
GAD_072417_47_D_POS10,4???,0.040042225
GAD_072417_49_A_NEG10,1???,0.755466557
GAD_072417_49_A_NEG10,2???,0.130014137
GAD_072417_49_A_NEG10,3???,0.627202247
GAD_072417_49_A_NEG10,4???,0.303244298
GAD_072417_49_B_NEG11,1???,1.163046025
GAD_072417_49_B_NEG11,2???,0.468848123
GAD_072417_49_B_NEG11,3???,1.721946768
GAD_072417_49_B_NEG11,4???,1.482990363
GAD_072417_49_C_NEG12,1???,1.915924354
GAD_072417_49_C_NEG12,2???,0.686528729
GAD_072417_49_C_NEG12,3???,1.957882359
GAD_072417_49_C_NEG12,4???,1.637330469
GAD_072417_49_D_POS16,1???,2.097263643
GAD_072417_49_D_POS16,2???,2.33108737
GAD_072417_49_D_POS16,3???,3.200190493
GAD_072417_49_D_POS16,4???,1.817195689
GAD_072417_51_A_NEG13,1???,2.77075794
GAD_072417_51_A_NEG13,2???,2.745755391
GAD_072417_51_A_NEG13,3???,1.850436184
GAD_072417_51_A_NEG13,4???,0.63373964
GAD_072417_51_B_NEG14,1???,2.687262284
GAD_072417_51_B_NEG14,2???,1.544767685
GAD_072417_51_B_NEG14,3???,1.234651245
GAD_072417_51_B_NEG14,4???,-0.17081883
GAD_072417_51_C_NEG15,1???,2.846006189
GAD_072417_51_C_NEG15,2???,0.945415821
GAD_072417_51_C_NEG15,3???,1.137862764
GAD_072417_51_C_NEG15,4???,1.608995939
GAD_072417_51_F_POS11,1???,5.411970813
GAD_072417_51_F_POS11,2???,3.097002363
GAD_072417_51_F_POS11,3???,2.839958539
GAD_072417_51_F_POS11,4???,-0.081089279
GAD_072417_53_A_POS12,1???,4.310624262
GAD_072417_53_A_POS12,2???,4.791167465
GAD_072417_53_A_POS12,3???,3.808328407
GAD_072417_53_A_POS12,4???,-0.054860741
GAD_072417_53_B_NEG16,1???,1.272348779
GAD_072417_53_B_NEG16,2???,1.825856913
GAD_072417_53_B_NEG16,3???,2.01164613
GAD_072417_53_B_NEG16,4???,1.257639649
