Fr,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31, ch0 , ch1 , ch2 , ch3 , ch4 , ch5 , ch6 , ch7 , ch8 , ch9 , ch10 , ch11 , ch12 , ch13 , ch14 , ch15 , ch16 , ch17 , ch18 , ch19 , ch20 , ch21 , ch22 , ch23 , ch24 , ch25 , ch26 , ch27 , ch28 , ch29 , ch30 , ch31 
20,87.17356393,114.176858,79.7130949,94.60236424,77.82078201,81.36275812,83.24352532,82.93773248,73.27715019,67.48134719,83.95313746,72.62973561,69.57682929,75.0029791,67.81576811,71.04219857,7.692275731,68.31058331,64.49305094,72.85344813,68.23140807,70.7875251,81.86921937,76.84789974,103.9942932,109.8269454,111.1006629,109.4291327,111.4144578,88.70137112,84.05454444,109.6972279,87.17356393,114.176858,79.7130949,94.60236424,77.82078201,81.36275812,83.24352532,82.93773248,73.27715019,67.48134719,83.95313746,72.62973561,69.57682929,75.0029791,67.81576811,71.04219857,7.692275731,68.31058331,64.49305094,72.85344813,68.23140807,70.7875251,81.86921937,76.84789974,103.9942932,109.8269454,111.1006629,109.4291327,111.4144578,88.70137112,84.05454444,109.6972279
21,56.71064444,74.63468356,59.91448301,59.31447208,58.32050515,57.66953668,59.37255308,54.84252689,50.79811899,51.1200361,60.81229639,51.54857952,49.60882855,54.97033746,47.62675049,49.01576269,5.183990128,51.01995032,49.54699548,53.37980508,47.29118388,50.23957617,60.59644506,55.03312479,77.34820289,69.77390147,78.81369289,77.87028908,69.49456117,54.77748764,47.88025658,67.86395162,56.71064444,74.63468356,59.91448301,59.31447208,58.32050515,57.66953668,59.37255308,54.84252689,50.79811899,51.1200361,60.81229639,51.54857952,49.60882855,54.97033746,47.62675049,49.01576269,5.183990128,51.01995032,49.54699548,53.37980508,47.29118388,50.23957617,60.59644506,55.03312479,77.34820289,69.77390147,78.81369289,77.87028908,69.49456117,54.77748764,47.88025658,67.86395162
22,65.03320657,86.25027719,63.50353115,68.83996887,58.87121674,58.78460983,61.33810692,57.87119136,52.4258268,49.54511621,57.96799128,50.7697024,50.80563227,56.73454526,49.16887313,51.03855812,3.411726185,46.75184635,44.456353,51.6897618,45.73847582,47.15003427,50.96227545,47.24227569,88.82614874,80.35434713,86.27635835,87.84959197,73.57442063,57.84797565,50.88586507,77.34553378,65.03320657,86.25027719,63.50353115,68.83996887,58.87121674,58.78460983,61.33810692,57.87119136,52.4258268,49.54511621,57.96799128,50.7697024,50.80563227,56.73454526,49.16887313,51.03855812,3.411726185,46.75184635,44.456353,51.6897618,45.73847582,47.15003427,50.96227545,47.24227569,88.82614874,80.35434713,86.27635835,87.84959197,73.57442063,57.84797565,50.88586507,77.34553378
23,39.88560999,55.51696549,29.43150324,44.62001636,29.2246019,30.79998114,32.0671104,34.96367541,25.9154081,22.44056573,35.39913574,27.87378599,27.63125695,27.87890356,25.82963771,28.51649554,4.413422334,20.89432808,19.24630548,22.79423736,22.14068311,20.38567556,19.36271639,20.26034819,49.38710599,51.71370388,50.16566692,50.16951566,46.1440268,40.12314278,36.2331286,50.12463064,39.88560999,55.51696549,29.43150324,44.62001636,29.2246019,30.79998114,32.0671104,34.96367541,25.9154081,22.44056573,35.39913574,27.87378599,27.63125695,27.87890356,25.82963771,28.51649554,4.413422334,20.89432808,19.24630548,22.79423736,22.14068311,20.38567556,19.36271639,20.26034819,49.38710599,51.71370388,50.16566692,50.16951566,46.1440268,40.12314278,36.2331286,50.12463064
24,30.6005819,47.42564403,27.7326218,33.81029821,28.60458026,28.83008996,29.53427044,30.68991085,22.66912668,20.58327176,30.04104158,24.25331077,23.29669511,23.9999024,21.94144721,24.06983985,1.90832191,19.74973315,19.43813696,21.17180415,20.02178165,21.67877315,23.47273409,21.89430538,44.38175954,39.02510803,44.66633694,40.66863728,38.2864633,29.28377271,26.18434595,39.37022021,30.6005819,47.42564403,27.7326218,33.81029821,28.60458026,28.83008996,29.53427044,30.68991085,22.66912668,20.58327176,30.04104158,24.25331077,23.29669511,23.9999024,21.94144721,24.06983985,1.90832191,19.74973315,19.43813696,21.17180415,20.02178165,21.67877315,23.47273409,21.89430538,44.38175954,39.02510803,44.66633694,40.66863728,38.2864633,29.28377271,26.18434595,39.37022021
25,14.79232211,17.6166399,12.51446483,14.0191645,13.29026696,13.03271933,13.98816836,14.85047773,11.36812925,9.547975097,10.58861594,10.36947871,10.22913914,10.79655885,10.04754712,10.66581959,1.593361244,8.793848946,9.011169371,9.757704432,9.001379006,9.583926011,10.38633437,9.291004147,20.67345732,20.88443527,22.71925538,19.99628342,22.59636624,17.44746458,15.57379017,21.25131336,14.79232211,17.6166399,12.51446483,14.0191645,13.29026696,13.03271933,13.98816836,14.85047773,11.36812925,9.547975097,10.58861594,10.36947871,10.22913914,10.79655885,10.04754712,10.66581959,1.593361244,8.793848946,9.011169371,9.757704432,9.001379006,9.583926011,10.38633437,9.291004147,20.67345732,20.88443527,22.71925538,19.99628342,22.59636624,17.44746458,15.57379017,21.25131336
26,29.12654671,41.010043,27.21891024,31.21916673,25.06582799,25.49786538,26.03605646,26.6219905,24.21635318,20.17309258,27.65844736,22.39781643,22.10268399,22.94029978,20.81850535,22.82397179,1.142754848,20.31267668,19.86152919,22.5796107,20.72173452,22.10000648,24.52565779,22.7431803,38.91163939,36.20897433,38.16425022,36.95998152,36.28049733,24.92585061,23.97711524,34.49470934,29.12654671,41.010043,27.21891024,31.21916673,25.06582799,25.49786538,26.03605646,26.6219905,24.21635318,20.17309258,27.65844736,22.39781643,22.10268399,22.94029978,20.81850535,22.82397179,1.142754848,20.31267668,19.86152919,22.5796107,20.72173452,22.10000648,24.52565779,22.7431803,38.91163939,36.20897433,38.16425022,36.95998152,36.28049733,24.92585061,23.97711524,34.49470934
27,15.2650598,21.48241768,15.83226059,16.46441324,15.28935745,15.36160212,15.25957575,15.24342061,14.8503371,12.40824565,17.03354109,13.43775754,12.9338732,13.94183213,12.53482121,13.18501609,0.54076164,13.30466552,13.11795003,14.31534502,12.98382707,14.79713533,16.95912707,15.43472371,19.39943797,17.24018942,18.82704138,18.13938784,17.92442143,12.42482496,11.35660774,17.73496031,15.2650598,21.48241768,15.83226059,16.46441324,15.28935745,15.36160212,15.25957575,15.24342061,14.8503371,12.40824565,17.03354109,13.43775754,12.9338732,13.94183213,12.53482121,13.18501609,0.54076164,13.30466552,13.11795003,14.31534502,12.98382707,14.79713533,16.95912707,15.43472371,19.39943797,17.24018942,18.82704138,18.13938784,17.92442143,12.42482496,11.35660774,17.73496031
28,4.444817255,6.983488811,4.620417641,4.97993582,4.334484986,4.222762757,4.182334845,4.084381562,3.404894383,3.283996051,4.781942719,3.631537514,3.481643568,3.883981486,3.348622524,3.613004062,0.383500829,3.537658784,3.191542435,3.498643903,3.33573989,3.855484299,4.27039358,4.038973918,5.969586761,4.840126056,5.597585385,5.429792412,4.942841557,3.472959074,3.264046805,4.827800921,4.444817255,6.983488811,4.620417641,4.97993582,4.334484986,4.222762757,4.182334845,4.084381562,3.404894383,3.283996051,4.781942719,3.631537514,3.481643568,3.883981486,3.348622524,3.613004062,0.383500829,3.537658784,3.191542435,3.498643903,3.33573989,3.855484299,4.27039358,4.038973918,5.969586761,4.840126056,5.597585385,5.429792412,4.942841557,3.472959074,3.264046805,4.827800921
29,1.493620066,2.142695242,1.502133643,1.604274003,1.431688686,1.399168415,1.435286593,1.417663742,1.19103795,1.044666278,1.408498055,1.153005614,1.149063238,1.255675119,1.079737823,1.184581051,0.10165546,1.082413035,0.995811235,1.118503,1.057979152,1.163376345,1.345041251,1.195320946,2.12278088,1.982571524,2.134827737,2.002583784,2.076250616,1.538758356,1.324094939,1.984536775,1.493620066,2.142695242,1.502133643,1.604274003,1.431688686,1.399168415,1.435286593,1.417663742,1.19103795,1.044666278,1.408498055,1.153005614,1.149063238,1.255675119,1.079737823,1.184581051,0.10165546,1.082413035,0.995811235,1.118503,1.057979152,1.163376345,1.345041251,1.195320946,2.12278088,1.982571524,2.134827737,2.002583784,2.076250616,1.538758356,1.324094939,1.984536775
30,0.381349545,0.488371439,0.394586182,0.409232725,0.384048853,0.3842826,0.385852276,0.387641644,0.339932275,0.300508427,0.353825884,0.326625532,0.315667753,0.349036206,0.306165736,0.319816043,0.028730618,0.307402409,0.303499682,0.330944859,0.317874622,0.332812363,0.396185243,0.339000187,0.573377078,0.548962687,0.596976735,0.528141415,0.582357289,0.44335612,0.371766573,0.556758658,0.381349545,0.488371439,0.394586182,0.409232725,0.384048853,0.3842826,0.385852276,0.387641644,0.339932275,0.300508427,0.353825884,0.326625532,0.315667753,0.349036206,0.306165736,0.319816043,0.028730618,0.307402409,0.303499682,0.330944859,0.317874622,0.332812363,0.396185243,0.339000187,0.573377078,0.548962687,0.596976735,0.528141415,0.582357289,0.44335612,0.371766573,0.556758658
31,1.021543347,1.519359871,0.987274484,1.174482657,0.994355101,0.989209398,0.920521193,0.93939792,0.825728112,0.820484731,1.064094946,0.865848591,0.815501964,0.934170886,0.816590092,0.854039104,0.061580847,0.805978241,0.792723616,0.847743789,0.852954399,0.863078316,1.024922829,0.904732592,1.374483585,1.23498459,1.315716994,1.281894912,1.180765536,0.885975943,0.797185819,1.208260723,1.021543347,1.519359871,0.987274484,1.174482657,0.994355101,0.989209398,0.920521193,0.93939792,0.825728112,0.820484731,1.064094946,0.865848591,0.815501964,0.934170886,0.816590092,0.854039104,0.061580847,0.805978241,0.792723616,0.847743789,0.852954399,0.863078316,1.024922829,0.904732592,1.374483585,1.23498459,1.315716994,1.281894912,1.180765536,0.885975943,0.797185819,1.208260723
32,2.415084991,3.225665562,2.22844829,2.652692616,2.285873758,2.186015975,2.090359058,2.203753623,1.998963376,1.862301814,2.311891306,1.93034347,1.865293603,2.155761866,1.917233721,2.008761776,0.249166788,1.795024251,1.859732603,1.924503607,1.967406992,1.980147759,2.361587068,2.063530242,2.899634826,2.749570481,2.627363826,2.812766724,2.513422546,1.953941114,1.858880781,2.610067564,2.415084991,3.225665562,2.22844829,2.652692616,2.285873758,2.186015975,2.090359058,2.203753623,1.998963376,1.862301814,2.311891306,1.93034347,1.865293603,2.155761866,1.917233721,2.008761776,0.249166788,1.795024251,1.859732603,1.924503607,1.967406992,1.980147759,2.361587068,2.063530242,2.899634826,2.749570481,2.627363826,2.812766724,2.513422546,1.953941114,1.858880781,2.610067564
33,3.171825892,5.08122721,2.993526143,3.555517077,2.635905167,2.872821119,2.625779735,2.579763159,2.812044077,2.383165086,2.907545566,2.525474113,2.441750364,2.859067652,2.366682391,2.578131783,0.193706437,2.645421098,2.61028004,2.66240068,2.431596394,2.711548068,3.629436801,3.100331923,3.885611547,3.354456838,3.709288985,3.63323031,3.222596873,2.786840161,2.494689075,3.397285223,3.171825892,5.08122721,2.993526143,3.555517077,2.635905167,2.872821119,2.625779735,2.579763159,2.812044077,2.383165086,2.907545566,2.525474113,2.441750364,2.859067652,2.366682391,2.578131783,0.193706437,2.645421098,2.61028004,2.66240068,2.431596394,2.711548068,3.629436801,3.100331923,3.885611547,3.354456838,3.709288985,3.63323031,3.222596873,2.786840161,2.494689075,3.397285223
