Fr,ch0,ch1,ch2,ch3,ch4,ch5, ch0 , ch1 , ch2 , ch3 , ch4 , ch5 
55,52.76556625,53.77597235,48.82854434,50.29947144,53.4629028,51.70630467,28.55860105,29.30339678,26.04990169,27.4231198,28.87135137,28.36387851
56,22.20772233,22.70338075,21.47596218,19.90759802,22.80948581,21.13123268,15.11116166,15.20341316,14.32551147,13.47564097,15.51530133,14.77556628
57,2.592948289,2.296654348,2.60314921,1.840090649,1.974281826,2.043516573,3.510464702,3.209245597,3.600008788,2.809298368,3.106347646,3.213678597
58,0.781383486,0.775745391,1.017309434,0.763363875,0.920500023,0.864238818,1.94879364,1.821603193,2.112949955,1.799320966,1.927881241,2.011705008
59,0.112014924,0.14840198,0.143299286,0.128460893,0.152244468,0.167512448,0.568302234,0.512057832,0.564685916,0.581077383,0.555614837,0.617127634
60,0.189811805,0.195427463,0.171282751,0.177763267,0.178128718,0.181441441,0.215223908,0.212107973,0.200046851,0.205017432,0.189154276,0.204918581
61,0.389049064,0.432670224,0.457923517,0.378147299,0.446962259,0.41887564,0.475312334,0.50647971,0.502453702,0.496389306,0.468269867,0.470949193
62,1.897405359,2.245966201,1.800822166,1.984138861,2.226807898,2.019378081,1.469653241,1.667055049,1.480023366,1.589085105,1.629149934,1.54050741
63,4.322251742,4.970150342,3.822324678,4.295375487,4.396563312,4.253698347,3.993242621,4.207027259,3.750373692,3.871232979,3.825373091,3.633990391
64,1.985746792,1.88314075,1.476179282,2.197115184,1.955824726,2.741222222,3.450105103,3.104337897,2.987877274,3.097859493,3.009090589,3.282337243
65,4.335766098,4.980519329,5.121963859,5.437217786,4.747488479,5.67728322,6.880470108,7.282133951,7.308191125,7.456724589,7.312442427,7.98524705
66,10.83422115,11.96374112,12.86326762,10.9677363,11.85272343,11.40089602,14.39259428,14.63288377,15.84956413,13.93021855,15.70300942,15.37259315
67,15.17710674,16.98942879,17.21358368,15.10272941,17.06015246,16.11301906,13.0004045,13.51744492,14.05446407,12.53894359,14.9951819,13.57508501
68,9.284926154,10.19963464,10.49501226,9.784396931,11.46266658,11.92122769,6.720710524,7.14464237,7.119671779,6.832103139,7.936029441,7.920198566
69,5.319688591,6.000433468,6.326817223,6.423927399,6.677928684,6.87359524,3.138709489,3.437104526,3.379218646,3.553121074,3.790020102,3.834840153
70,7.681359282,8.29953388,8.137535924,8.620966725,8.786292071,9.458063515,5.84463199,6.332082764,5.930743555,6.199812416,6.326614803,6.489106513
71,11.02353165,11.04035455,10.66722725,11.45300037,11.65795657,12.00437194,6.66324767,6.714046839,6.658432706,6.900480087,7.018281739,7.257826388
72,12.17763015,12.06299955,12.0358803,12.62166952,12.30345391,12.99571107,7.976818162,7.765966978,7.858272861,7.914510037,7.982205752,8.40630772
73,5.228836826,5.271417238,5.351863468,5.663696664,5.024686553,5.3882383,3.780064095,3.670916829,3.801276941,3.660040962,3.516081971,3.811988922
74,0.790349426,0.825850457,0.864205325,0.824438982,0.75280212,0.813731118,0.969685829,0.926123836,0.988107433,0.827861796,0.821249202,0.910490285
75,0.173805464,0.172356632,0.169616496,0.175676666,0.189202807,0.184111092,0.140969286,0.139056659,0.134555081,0.143815912,0.137778679,0.139412464
76,0.818151575,0.820606878,0.795651434,0.828547086,0.843800529,0.812652892,0.882675595,0.926801134,0.858632691,0.874770009,0.87606653,0.866575481
77,1.5818201,1.608913285,1.557606872,1.554546256,1.639507819,1.577343908,2.373139234,2.393002514,2.326074508,2.320274419,2.351625172,2.339853898
78,3.696126646,3.624962419,3.454086702,3.656010876,3.725819418,3.500269736,2.472769614,2.539932923,2.385974223,2.396036447,2.504156166,2.427440601
79,1.529013162,1.296823328,1.427763341,1.497476456,1.356282163,1.487977888,2.326754006,2.296446742,2.531722152,2.442093,2.34224938,2.330903677
80,2.017130027,2.030371742,1.99440861,1.717682168,1.755619507,1.690806242,8.867966837,9.493931862,9.517239118,8.992234136,9.293115223,8.524049031
81,0.408924263,0.449925158,0.54213819,0.368321756,0.285526783,0.259861354,9.186402625,9.469226281,9.23301219,9.757569809,9.49793065,9.274749105
82,3.870632443,4.248976889,3.654599885,4.198672915,3.592132294,2.998918664,15.93157515,16.99468504,15.57159065,17.25251452,15.21559411,15.69436385
83,4.949488381,5.696332078,4.330397526,4.845804349,4.513499276,4.301773349,15.04794534,16.75604161,14.56858429,16.41768342,14.37546944,14.59671292
84,2.782304483,2.536689381,2.329241675,1.955104322,2.451305857,2.173496475,3.701555872,3.823657788,3.4195592,3.507271237,3.401340948,3.188152863
85,1.548681785,1.519990479,1.35177131,0.845493278,1.40536616,0.82302992,1.431460035,1.446615391,1.352526353,1.348301105,1.233639851,1.107279571
86,3.495779413,3.405398059,3.883034948,3.329260295,3.445312855,3.074616103,3.135743039,3.053750766,3.129055972,3.19414609,3.022134014,2.649959427
87,3.259717774,3.346975724,3.830686081,3.190279084,3.036066275,3.240834986,3.109264521,2.976000972,3.341757356,3.079596874,2.855089148,2.721294545
88,0.477017762,0.461533825,0.595156105,0.516000653,0.553307741,0.501375725,0.655880822,0.636775145,0.746871678,0.656402858,0.647224822,0.569581615
89,0.218871243,0.198756162,0.204268517,0.172025172,0.229345305,0.220183743,0.219026828,0.224578705,0.209858351,0.214670383,0.216100677,0.214008419
90,0.049859126,0.049595174,0.045027653,0.03930252,0.041805955,0.043377247,0.109068465,0.113800184,0.116643064,0.120120465,0.101312608,0.105669407
91,0.597311168,0.594213637,0.67472355,0.592645849,0.632466758,0.678042365,0.552506374,0.556050204,0.593989795,0.576661202,0.580780974,0.590583163
92,2.047448502,1.979667165,2.154240775,1.985993154,2.038759621,2.29915128,1.893368158,1.87747992,1.823545963,1.905125831,1.913631721,2.005562864
93,2.460631182,2.504606335,2.674708809,2.461381179,2.429489103,2.737797574,2.843029256,2.870654183,2.708173489,2.69951229,2.796899866,2.991330267
94,2.951231271,3.103519125,3.153636999,3.166269261,3.207698285,3.188869214,5.848864599,6.058867885,5.871890763,5.790993636,5.94283192,6.215371398
95,3.189816323,3.122767566,2.928320694,2.972268542,2.372804346,3.110699684,4.974061251,5.197829209,5.020676417,5.061186668,4.805006839,5.354123139
96,6.441832922,7.053372289,6.274279896,7.33974638,6.418436255,7.552478011,5.546079867,6.005289856,5.618169334,6.344734561,5.77998045,6.404906713
97,10.54443817,10.25851126,9.904856356,10.52743634,9.534831402,10.06390077,10.27417016,10.25283562,10.08682489,10.67593973,10.23178186,10.38957019
98,6.680680575,5.959072741,6.238297038,6.257282396,6.2219995,5.948632675,6.165581293,5.905456746,6.137840211,5.99875732,5.969540318,6.00127875
99,3.029006672,2.225157395,2.610036803,2.641463367,2.883199357,2.703001129,2.549198295,2.198471368,2.187857649,2.365968551,2.568968718,2.296042745
100,5.097947809,4.088856501,4.465275544,4.69747716,4.70472345,4.861240069,3.503145721,2.978334273,3.140981841,3.13167398,3.327339035,3.224115892
101,6.597010826,5.835874476,5.991938423,6.468001011,6.239997181,6.421292615,5.166774298,4.861017959,4.88571519,4.951683562,4.818588694,4.77009773
102,2.069080864,1.805995302,1.888385396,2.142717808,2.092778154,2.07578056,2.906727802,2.963158023,2.815872612,2.915312374,2.754909721,2.667311004
103,0.919400938,0.779033815,0.824792334,0.975625901,1.004649739,1.02617573,1.104711489,1.093917658,1.014878004,1.160447291,1.172760132,1.148537228
104,0.361103545,0.35770249,0.346648573,0.39771413,0.403674652,0.448981329,0.307909415,0.316027317,0.289202035,0.336428256,0.352351494,0.360943408
105,0.093063695,0.105218615,0.100466682,0.10188252,0.099026761,0.105253719,0.089669122,0.100602235,0.099098809,0.095640623,0.091193063,0.096386963
106,0.094010765,0.120427662,0.0831498,0.096264809,0.106492902,0.107323402,0.543569561,0.605231803,0.57586155,0.569771441,0.596001872,0.610565952
107,0.852944803,1.009129385,0.811154368,0.882499991,0.92595732,0.999718711,2.382548066,2.655400858,2.569821081,2.437434918,2.516413179,2.652172822
108,0.276560657,0.364408231,0.325758768,0.42116451,0.411786255,0.493239657,3.438309784,3.669400739,3.739913741,3.463147403,3.485494141,3.741608397
109,1.082538308,0.95145237,1.365652007,0.979255638,0.90358236,0.841012297,3.288622388,3.296002746,3.599675322,3.284060664,3.256728063,3.48890598
110,2.525567636,2.104499752,2.68414547,2.444493529,2.426403464,2.234709274,3.070146399,2.865094642,3.188086821,3.292752922,3.356526124,3.255541852
111,3.165255635,2.594724488,3.17150459,3.399412891,3.412200664,2.705580548,4.034679958,3.283236905,3.782762232,3.90434272,3.960165989,3.918050036
112,2.240057611,2.0280975,2.593778424,2.629142083,2.4765605,2.120037776,3.817300461,3.483830356,3.805314696,3.689168195,3.900902537,3.778430182
113,3.011491847,3.545837865,3.421508326,3.580307462,4.08935843,3.523712952,2.492554812,2.609073314,2.698162747,2.493508135,2.83265848,2.54370078
114,3.255878321,3.344436137,3.254582037,3.587671232,3.644820891,3.977813889,6.541801443,6.46463797,6.597253401,6.671238693,6.497595731,7.110900332
115,5.101730371,5.045580523,4.829031059,4.936246133,4.859463288,5.32745257,5.725809884,5.608991918,5.185858377,5.542922378,5.315143655,5.679524217
116,6.731961454,6.411535713,6.36669572,6.067819651,6.574769191,6.313852288,3.601993423,3.350005075,3.320093448,3.20450544,3.586705365,3.412835051
117,4.329818244,3.845707587,4.155197782,3.851975349,4.201900642,4.052055486,2.666896473,2.365643634,2.61054326,2.436613526,2.668845397,2.512605068
118,1.37694072,1.219541947,1.291768994,1.190417814,1.482322295,1.275706385,1.141790036,1.048587894,1.117242916,1.061130945,1.166783226,1.062375491
119,0.239459708,0.204712261,0.227992281,0.180743236,0.278389217,0.197900423,0.286319574,0.250099725,0.271880751,0.234851647,0.289521758,0.246321446
120,0.095567864,0.083829172,0.095928864,0.076509369,0.08063751,0.07776776,0.068060758,0.057228007,0.067220887,0.05362872,0.056008313,0.049553487
121,0.276577338,0.283844124,0.259583321,0.278869131,0.267858552,0.271620254,0.183128154,0.19096608,0.173258245,0.188212169,0.173206281,0.194309888
122,0.172526594,0.232883216,0.248904871,0.282104208,0.297462965,0.326145296,0.279461137,0.297450157,0.328664662,0.349237923,0.259545999,0.325218922
123,1.657236648,1.600768351,1.574097837,1.557031956,1.697020707,1.559684547,1.369838547,1.266328163,1.278239372,1.293618718,1.154009678,1.124866975
124,2.911467467,2.715606947,3.124808635,2.933743365,3.11002852,2.75930215,1.977162336,1.837133885,1.94628294,2.050800258,1.84817425,1.659298445
125,2.42325781,2.829137447,2.862522284,2.797386508,2.701255001,2.573595323,1.785654272,2.021074984,1.993358623,2.162400281,2.048793788,1.844259963
126,1.557390798,1.508609776,1.566074138,2.016795119,2.133919297,2.228469173,2.305051541,2.255380263,2.664390722,2.679458577,2.81334866,2.797483616
127,1.158258884,1.408035756,1.073135815,1.902552774,1.156647438,1.561119317,10.223292,9.679967891,10.03928394,10.36774841,10.5703445,11.32691729
128,1.079352394,1.71506138,1.163464315,1.617091663,1.519534005,1.705003263,9.726755789,10.06280351,9.569310573,10.0583822,11.78776704,12.17409767
129,2.843224661,3.333250482,2.594645993,3.128094367,2.901986021,2.838165404,3.37882549,4.109116326,3.498633325,3.684154954,4.582714127,4.21004191
130,2.207139929,2.329908475,1.835356226,2.879032433,2.157487461,1.719500788,3.026507187,3.346303563,3.199789176,3.51310319,3.443216691,3.089332961
131,1.058708184,1.661739613,1.111187025,1.6220572,1.148581144,0.820244533,0.90594279,1.221799654,1.081158351,1.34008322,1.033333677,0.985644966
132,0.89347447,0.881876264,0.692887641,0.883639792,0.640951482,0.559256878,0.569873404,0.610074109,0.407874513,0.491945879,0.383513234,0.328280654
133,0.460833018,0.539251266,0.373417184,0.414352656,0.522184093,0.605469298,0.41939334,0.483443182,0.300891536,0.286504512,0.373623438,0.382374761
134,0.402910014,0.412017853,0.369078651,0.396488461,0.337030895,0.38851367,0.26892628,0.270860371,0.239936307,0.262744622,0.217588858,0.240401617
135,0.001469227,0.00274179,0.001892787,0.003540302,0.004633404,0.003036963,0.006454082,0.007789106,0.007981196,0.008812104,0.009854903,0.01546603
136,0.133382289,0.148079306,0.118347439,0.12889562,0.134731809,0.07721653,0.194524325,0.186809973,0.15679095,0.158571098,0.167719077,0.128115449
137,0.637997081,0.599229408,0.516954715,0.483851204,0.629793411,0.448168182,0.816526312,0.855915871,0.767728131,0.635097627,0.825760386,0.669760401
138,0.579563485,0.437808591,0.496777433,0.475601459,0.709845525,0.644668028,1.881919199,2.139546878,1.885642493,1.749797231,1.73250891,1.471106565
139,0.862837935,0.799393975,0.96715043,0.929293494,1.282923403,1.033785329,4.289046525,4.658109245,3.973194903,4.401324117,4.155805368,3.655726195
140,0.725611222,0.680047219,0.94806718,1.183269197,1.517454532,1.376450266,2.976468933,2.843386028,2.473121734,3.108490401,3.790560971,3.230996503
141,2.116893836,1.595399189,2.392364338,2.609733554,2.311774311,2.759966605,1.785388562,1.39463408,1.778576111,1.780941415,2.428406538,2.434382369
142,1.560823214,1.46588485,2.115843131,1.383648547,1.271276837,1.599019941,1.478189001,1.744975535,1.960850547,1.70421032,1.892913392,2.122291511
143,2.089372361,2.319633295,2.495929217,1.69874186,2.993751325,3.515801084,1.339039786,1.623798902,1.632260852,1.085963958,1.866140946,2.029432675
144,3.085891314,2.922475383,2.049315959,2.488735031,2.20903071,2.698129666,3.300818794,2.874562407,2.25225329,2.288403556,2.356929073,2.235729719
145,1.983106111,2.231019594,1.701210112,1.45139482,1.648876697,2.112820847,2.356687694,2.46518299,2.256732456,2.145430236,2.555698126,2.415385641
146,0.750913327,0.402018377,0.349397202,0.447969695,1.471097748,1.69584711,0.92603455,1.119450317,0.642314004,1.022537387,1.698476214,1.57332801
147,0.373927419,0.218642959,0.269140631,0.30512886,0.476702905,0.620828906,0.430354996,0.617167157,0.347491696,0.490070475,0.583489062,0.473276155
148,0.285901658,0.26287198,0.200764246,0.222941183,0.328973987,0.411257442,0.324314099,0.350643431,0.275369122,0.194196728,0.240551587,0.264491378
149,0.126074341,0.15832797,0.129838404,0.12052718,0.259225817,0.233831369,0.206681058,0.226109596,0.224035377,0.156710393,0.248750944,0.228205092
150,0.031964149,0.013610651,0.027222933,0.017206295,0.031514683,0.010587525,0.035607388,0.019237647,0.038864392,0.023096062,0.037827715,0.01619595
151,0.24310877,0.217697905,0.174339622,0.128487062,0.06464419,0.109462729,0.227324432,0.183472483,0.15026414,0.148421969,0.112633407,0.171956525
152,1.146427604,0.979006904,0.938199421,0.783976138,0.911094726,0.932487121,0.891586889,0.608139,0.589438432,0.536244433,0.676082798,0.652742497
153,1.278129242,1.144231266,0.869782334,0.770605146,1.477564562,1.481079377,2.299700565,1.669355661,1.544550182,1.295986295,1.417342923,1.386748923
154,0.663898041,0.591645205,0.201396246,0.295971996,0.794395679,0.99569787,2.168359573,1.656000567,1.109650196,1.120384053,1.522566923,2.094164531
155,0.131465783,0.28660097,0.442330619,0.454190775,0.226128768,0.502781731,0.342373856,0.428898066,0.317272324,0.481351444,1.709749406,2.072813979
156,0.016977147,0.050686277,0.450012666,0.282349713,1.192078364,1.042125263,0.882125817,0.780874808,1.153125169,0.847584597,3.523115842,2.839997983
157,0.723207796,1.659661794,0.881111595,1.304511383,3.770876333,4.268625286,0.941576981,2.066491993,1.147664818,1.612028272,2.939145638,3.944182211
158,1.117488028,2.914420921,2.521769351,3.217346353,2.671224706,3.742537702,1.606877908,3.746777089,2.581532946,3.582836393,4.132168993,6.846531598
159,1.438571621,2.639211887,3.810517764,3.518806927,2.043167247,1.675543416,6.290060608,6.178707047,6.602097869,6.099337091,5.375678733,6.329676144
160,3.734788035,4.123376599,5.176391775,4.401884281,4.651239792,3.205827113,7.514439558,5.707560091,6.756539218,5.901329465,5.374945155,6.260345846
161,2.575537661,2.416519267,1.793498481,2.472409322,3.07802914,1.536682868,2.744463166,1.778595233,2.050203654,2.141519784,2.801100915,2.762586582
162,0.739959073,0.590145948,0.503648801,0.905520424,1.027786956,0.46380593,0.696994376,0.42354482,0.501320132,0.74282886,1.125920528,0.915248069
163,0.221894571,0.15502845,0.216458805,0.177770417,0.364091102,0.218112893,0.308924388,0.163511803,0.247997984,0.222954487,0.381330358,0.328963612
164,0.070761648,0.094819125,0.112910391,0.128830402,0.047613061,0.061675348,0.067073788,0.061812876,0.083793512,0.094873684,0.036538917,0.067801113
165,0.116356278,0.147838224,0.168883414,0.149216362,0.04443578,0.042643674,0.064473546,0.079859637,0.090016138,0.090357001,0.041986042,0.030665135
166,0.403414367,0.477231234,0.467378114,0.395115521,0.156666672,0.175073586,0.283311335,0.268876951,0.257692854,0.252527943,0.130669233,0.130400215
167,0.499288486,0.338932691,0.391811243,0.420095081,0.118446658,0.228728214,0.608456281,0.367352189,0.34490145,0.579820891,0.279273223,0.203263466
168,0.10526882,0.358356028,0.331842934,0.113004882,0.345862669,0.359696032,0.511711572,0.381713788,0.327160077,0.360600957,0.821787282,0.723503988
169,0.733819755,2.535763854,0.60919378,1.282281508,1.679052026,2.243760511,1.270335325,1.942262746,0.960093166,1.199617091,1.759059061,1.91137991
170,2.860249808,2.686343568,3.174576808,3.619112737,2.474891185,4.003958389,3.997895424,2.475384108,3.489988949,3.360191957,1.650611392,2.212464421
171,3.818941354,2.399923223,3.582737666,3.766645993,6.066127899,4.798158197,3.291193461,2.411288962,2.557202414,3.923230168,3.533172456,3.370470041
172,1.017587902,1.306863037,2.930925766,2.672331212,8.436422328,5.037577293,3.528711161,2.860180695,3.072910419,3.986590454,6.212616486,5.072212419
173,0.474500562,1.316373596,1.829314355,2.034637513,6.353780914,5.849102513,2.896441432,1.78375548,2.662716806,2.586508392,5.457766326,5.270565108
174,0.818374705,1.328515339,0.824478021,1.555500645,2.922968762,3.164805999,1.822476845,0.835776617,1.14553645,1.250548757,2.382897897,3.073790718
175,0.123765032,1.64535331,0.525783279,2.386487948,1.9880593,2.712195733,0.736335129,1.482819955,0.724095591,1.409212488,2.263564036,2.534868225
176,1.015094547,1.060392995,2.004894729,1.402326204,2.462300358,2.514918789,1.539141596,1.067639175,1.583159573,0.782856192,2.795427116,2.48299625
177,3.461036024,2.0260774,2.613087268,2.403294194,1.864694946,1.394474068,2.646070816,1.346483596,1.670923474,1.328112913,1.756945024,1.403038273
178,2.754725561,1.88120789,1.680435127,1.933368325,1.212775288,1.135434641,1.811652427,1.240830026,1.103250135,1.205440234,0.884750163,0.989536436
179,0.620236422,0.70905051,0.594050223,0.413291051,0.535314947,0.791716383,0.496072568,0.598457,0.447245502,0.361869234,0.381003195,0.62565304
180,0.040452691,0.048625677,0.067059697,0.041905331,0.083951876,0.165488969,0.035208632,0.057732651,0.042285639,0.027828175,0.053030098,0.104222917
181,0.177428449,0.080711084,0.094281985,0.091955485,0.108311957,0.073292489,0.217064594,0.147537395,0.132330202,0.191423295,0.088439378,0.086555066
182,1.47593323,0.390221863,1.136870757,0.468202621,0.227969652,0.148552707,1.481711823,1.143298177,1.82614652,1.132587038,0.566423771,0.522049082
183,3.343552334,1.076780821,2.356329035,1.395050378,0.380503835,1.115405864,3.332887307,2.592965819,3.085834316,2.755203006,1.708453779,2.251458745
184,2.955299778,3.709267005,4.141387545,3.422700264,2.864134082,4.710151855,1.882273876,2.210082168,2.629071259,2.095329392,2.092306838,3.014174852
185,4.232868113,5.069008058,3.898420411,3.563150654,2.816717565,3.798277807,2.28745487,2.707705034,2.4780249,2.037957127,2.512738105,2.768238619
186,3.899004762,3.671173018,1.765322908,2.095294538,2.477037338,0.856407093,2.161066839,2.245930668,2.435860085,1.739019605,3.442216081,2.367241646
