cells,waveform,experiment,experiment_waveform,xcorr_baseline,xcorr_laser,xcorr_diff
319.255,narrow,gadchr2,gadchr2_narrow,1,4,3
319.256,narrow,gadchr2,gadchr2_narrow,1,2,1
319.318,narrow,gadchr2,gadchr2_narrow,3,2,-1
319.32,narrow,gadchr2,gadchr2_narrow,3,5,2
319.327,narrow,gadchr2,gadchr2_narrow,3,4,1
320.214,narrow,gadchr2,gadchr2_narrow,2,6,4
320.215,narrow,gadchr2,gadchr2_narrow,3,6,3
320.255,narrow,gadchr2,gadchr2_narrow,1,4,3
320.256,narrow,gadchr2,gadchr2_narrow,1,2,1
320.318,narrow,gadchr2,gadchr2_narrow,3,2,-1
320.319,narrow,gadchr2,gadchr2_narrow,3,5,2
320.327,narrow,gadchr2,gadchr2_narrow,3,4,1
327.214,narrow,gadchr2,gadchr2_narrow,4,6,2
327.215,narrow,gadchr2,gadchr2_narrow,5,6,1
327.255,narrow,gadchr2,gadchr2_narrow,2,4,2
327.256,narrow,gadchr2,gadchr2_narrow,2,2,0
327.318,narrow,gadchr2,gadchr2_narrow,3,2,-1
327.319,narrow,gadchr2,gadchr2_narrow,3,4,1
327.32,narrow,gadchr2,gadchr2_narrow,3,4,1
