Time,Unit1,Unit2,Unit3,Unit 4,Unit5,Unit6,Unit7,Unit8,Unit9,Unit10,Unit11,Unit12,Unit13,Unit14,Unit15,Unit16
0.35,2,1,0,2,5,2,0,3,0,0,1,0,1,5,0,0
0.36,1,1,0,3,4,1,0,2,0,1,2,2,1,1,1,1
0.37,2,0,1,1,2,1,0,2,0,0,1,0,1,0,0,0
0.38,4,1,2,1,3,2,0,0,0,0,3,1,0,3,0,1
0.39,4,1,0,1,3,1,0,0,0,0,0,0,0,4,0,1
0.4,2,3,0,0,2,2,0,0,0,0,2,0,0,0,2,0
0.41,1,1,0,2,6,1,1,1,0,0,1,1,2,0,0,0
0.42,3,1,0,0,4,0,1,0,1,0,3,0,0,0,1,1
0.43,3,0,1,0,3,1,0,0,0,0,2,0,1,2,0,1
0.44,3,1,0,0,3,2,0,0,2,0,3,0,1,4,0,1
0.45,0,1,0,0,3,3,0,0,0,0,2,1,0,2,0,0
0.46,2,1,0,0,3,2,0,0,0,1,0,3,0,3,0,0
0.47,3,0,1,0,3,2,0,0,0,1,2,1,0,2,0,1
0.48,3,2,0,2,0,2,0,0,0,1,0,0,2,2,1,2
0.49,1,2,2,0,0,0,0,0,2,0,2,0,0,3,1,0
0.5,4,1,0,0,3,2,0,0,1,0,0,0,2,1,0,0
0.51,3,0,0,0,1,0,1,0,1,0,4,0,2,1,2,0
0.52,0,3,0,1,3,2,1,0,0,0,0,1,1,1,0,0
0.53,1,1,1,1,4,3,0,0,0,1,2,0,1,1,0,0
0.54,0,2,0,1,0,0,1,1,1,1,0,0,1,1,0,2
0.55,3,3,1,0,2,2,0,0,0,1,0,1,3,3,1,1
0.56,2,0,0,0,3,0,0,0,0,1,1,0,0,3,1,1
0.57,5,2,1,0,2,0,0,0,1,0,2,0,0,1,1,0
0.58,2,2,1,0,2,1,0,0,0,0,0,1,2,2,0,1
0.59,4,2,0,2,2,1,0,0,0,0,0,1,1,0,1,2
0.6,2,0,0,1,1,2,2,0,0,0,0,0,1,3,0,1
0.61,4,0,2,2,2,0,0,0,1,1,0,0,0,1,0,0
0.62,2,0,0,0,2,1,2,0,1,0,3,0,0,0,3,3
0.63,3,1,2,2,1,1,0,1,0,0,1,1,2,2,0,0
0.64,1,2,0,0,6,1,1,0,0,0,0,0,0,2,0,1
0.65,2,0,1,0,3,0,0,2,1,1,2,0,3,2,2,0
0.66,2,3,0,1,4,0,0,0,0,2,1,0,1,1,0,1
0.67,4,2,0,0,2,1,2,1,0,1,1,0,1,1,1,2
0.68,4,1,0,0,4,2,0,2,0,0,1,0,0,1,1,0
0.69,4,1,0,2,2,0,0,2,0,1,1,1,2,0,1,2
0.7,2,0,0,0,4,4,0,0,0,0,0,1,1,1,1,0
0.71,6,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0
0.72,2,2,0,0,3,1,0,0,0,1,2,1,0,4,1,2
0.73,4,1,0,0,3,3,0,0,0,1,3,1,0,2,0,2
0.74,3,0,0,0,2,2,0,0,1,1,3,0,0,2,3,0
